Year,Sport,Discipline,Medal,Country,Author,AuthorId
2004,CAN,mens-canadian-doubles-slalom,Silver,GER,Germany,
2004,CAN,mens-canadian-doubles-slalom,Bronze,CZE,Czech Republic,
2000,CAN,mens-canadian-doubles-slalom,Gold,SVK,Slovakia,
2000,CAN,mens-canadian-doubles-slalom,Silver,POL,Poland,
2000,CAN,mens-canadian-doubles-slalom,Bronze,CZE,Czech Republic,
1996,CAN,mens-canadian-doubles-slalom,Gold,FRA,France,
1996,CAN,mens-canadian-doubles-slalom,Silver,CZE,Czech Republic,
1996,CAN,mens-canadian-doubles-slalom,Bronze,GER,Germany,
1992,CAN,mens-canadian-doubles-slalom,Gold,USA,United States,
1992,CAN,mens-canadian-doubles-slalom,Silver,TCH,Czechoslovakia,
1992,CAN,mens-canadian-doubles-slalom,Bronze,FRA,France,
1972,CAN,mens-canadian-doubles-slalom,Gold,GDR,East Germany,
1972,CAN,mens-canadian-doubles-slalom,Silver,FRG,West Germany,
1972,CAN,mens-canadian-doubles-slalom,Bronze,FRA,France,
2012,CAN,mens-canadian-singles-1000-metres,Gold,GER,Sebastian Brendel,sebastian-brendel-1
2012,CAN,mens-canadian-singles-1000-metres,Silver,ESP,David Cal,david-cal-1
2012,CAN,mens-canadian-singles-1000-metres,Bronze,CAN,Mark Oldershaw,mark-oldershaw-1
2008,CAN,mens-canadian-singles-1000-metres,Gold,HUN,Attila Vajda,attila-vajda-1
2008,CAN,mens-canadian-singles-1000-metres,Silver,ESP,David Cal,david-cal-1
2008,CAN,mens-canadian-singles-1000-metres,Bronze,CAN,Thomas Hall,thomas-hall-1
2004,CAN,mens-canadian-singles-1000-metres,Gold,ESP,David Cal,david-cal-1
2004,CAN,mens-canadian-singles-1000-metres,Silver,GER,Andreas Dittmer,andreas-dittmer-1
2004,CAN,mens-canadian-singles-1000-metres,Bronze,HUN,Attila Vajda,attila-vajda-1
2000,CAN,mens-canadian-singles-1000-metres,Gold,GER,Andreas Dittmer,andreas-dittmer-1
2000,CAN,mens-canadian-singles-1000-metres,Silver,CUB,Ledys Balceiro,ledys-balceiro-1
2000,CAN,mens-canadian-singles-1000-metres,Bronze,CAN,Steve Giles,steve-giles-1
1996,CAN,mens-canadian-singles-1000-metres,Gold,CZE,Martin Doktor,martin-doktor-1
1996,CAN,mens-canadian-singles-1000-metres,Silver,LAT,Ivans Klementjevs,ivans-klementjevs-1
1996,CAN,mens-canadian-singles-1000-metres,Bronze,HUN,GyÃ¶rgy Zala,gyorgy-zala-1
1992,CAN,mens-canadian-singles-1000-metres,Gold,BUL,Nikolay Bukhalov,nikolay-bukhalov-1
1992,CAN,mens-canadian-singles-1000-metres,Silver,LAT,Ivans Klementjevs,ivans-klementjevs-1
1992,CAN,mens-canadian-singles-1000-metres,Bronze,HUN,GyÃ¶rgy Zala,gyorgy-zala-1
1988,CAN,mens-canadian-singles-1000-metres,Gold,URS,Ivans Klementjevs,ivans-klementjevs-1
1988,CAN,mens-canadian-singles-1000-metres,Silver,GDR,JÃ¶rg Schmidt,jorg-schmidt-1
1988,CAN,mens-canadian-singles-1000-metres,Bronze,BUL,Nikolay Bukhalov,nikolay-bukhalov-1
1984,CAN,mens-canadian-singles-1000-metres,Gold,FRG,Ulli Eicke,ulli-eicke-1
1984,CAN,mens-canadian-singles-1000-metres,Silver,CAN,Larry Cain,larry-cain-1
1984,CAN,mens-canadian-singles-1000-metres,Bronze,DEN,Henning Lynge Jakobsen,henning-lynge-jakobsen-1
1980,CAN,mens-canadian-singles-1000-metres,Gold,BUL,Lyubomir Lyubenov,lyubomir-lyubenov-1
1980,CAN,mens-canadian-singles-1000-metres,Silver,URS,Serhiy Postriekhin,serhiy-postriekhin-1
1980,CAN,mens-canadian-singles-1000-metres,Bronze,GDR,Eckhard Leue,eckhard-leue-1
1976,CAN,mens-canadian-singles-1000-metres,Gold,YUG,Matija Ljubek,matija-ljubek-1
1976,CAN,mens-canadian-singles-1000-metres,Silver,URS,Vasyl Yurchenko,vasyl-yurchenko-1
1976,CAN,mens-canadian-singles-1000-metres,Bronze,HUN,TamÃ¡s Wichmann,tamas-wichmann-1
1972,CAN,mens-canadian-singles-1000-metres,Gold,ROU,Ivan Patzaichin,ivan-patzaichin-1
1972,CAN,mens-canadian-singles-1000-metres,Silver,HUN,TamÃ¡s Wichmann,tamas-wichmann-1
1972,CAN,mens-canadian-singles-1000-metres,Bronze,FRG,Detlef Lewe,detlef-lewe-1
1968,CAN,mens-canadian-singles-1000-metres,Gold,HUN,Tibor Tatai,tibor-tatai-1
1968,CAN,mens-canadian-singles-1000-metres,Silver,FRG,Detlef Lewe,detlef-lewe-1
1968,CAN,mens-canadian-singles-1000-metres,Bronze,URS,Vitaly Galkov,vitaly-galkov-1
1964,CAN,mens-canadian-singles-1000-metres,Gold,GER,JÃ¼rgen Eschert,jurgen-eschert-1
1964,CAN,mens-canadian-singles-1000-metres,Silver,ROU,Andrei Igorov,andrei-igorov-1
1964,CAN,mens-canadian-singles-1000-metres,Bronze,URS,Yevgeny Penyayev,yevgeny-penyayev-1
1960,CAN,mens-canadian-singles-1000-metres,Gold,HUN,JÃ¡nos Parti,janos-parti-1
1960,CAN,mens-canadian-singles-1000-metres,Silver,URS,Aleksandr Silayev,aleksandr-silayev-1
1960,CAN,mens-canadian-singles-1000-metres,Bronze,ROU,Leon Rotman,leon-rotman-1
1956,CAN,mens-canadian-singles-1000-metres,Gold,ROU,Leon Rotman,leon-rotman-1
1956,CAN,mens-canadian-singles-1000-metres,Silver,HUN,IstvÃ¡n Hernek,istvan-hernek-1
1956,CAN,mens-canadian-singles-1000-metres,Bronze,URS,Gennady Bukharin,gennady-bukharin-1
1952,CAN,mens-canadian-singles-1000-metres,Gold,TCH,Josef HoleÄek,josef-holecek-1
1952,CAN,mens-canadian-singles-1000-metres,Silver,HUN,JÃ¡nos Parti,janos-parti-1
1952,CAN,mens-canadian-singles-1000-metres,Bronze,FIN,Olavi OjanperÃ¤,olavi-ojanpera-1
1948,CAN,mens-canadian-singles-1000-metres,Gold,TCH,Josef HoleÄek,josef-holecek-1
1948,CAN,mens-canadian-singles-1000-metres,Silver,CAN,Douglas Bennett,douglas-bennett-1
1948,CAN,mens-canadian-singles-1000-metres,Bronze,FRA,Robert Boutigny,robert-boutigny-1
1936,CAN,mens-canadian-singles-1000-metres,Gold,CAN,Frank Amyot,frank-amyot-1
1936,CAN,mens-canadian-singles-1000-metres,Silver,TCH,Bohuslav KarlÃ­k,bohuslav-karlik-1
1936,CAN,mens-canadian-singles-1000-metres,Bronze,GER,Erich Koschik,erich-koschik-1
1956,CAN,mens-canadian-singles-10000-metres,Gold,ROU,Leon Rotman,leon-rotman-1
1956,CAN,mens-canadian-singles-10000-metres,Silver,HUN,JÃ¡nos Parti,janos-parti-1
1956,CAN,mens-canadian-singles-10000-metres,Bronze,URS,Gennady Bukharin,gennady-bukharin-1
1952,CAN,mens-canadian-singles-10000-metres,Gold,USA,Frank Havens,frank-havens-1
1952,CAN,mens-canadian-singles-10000-metres,Silver,HUN,GÃ¡bor NovÃ¡k,gabor-novak-1
1952,CAN,mens-canadian-singles-10000-metres,Bronze,TCH,AlfrÃ©d Jindra,alfred-jindra-1
1948,CAN,mens-canadian-singles-10000-metres,Gold,TCH,FrantiÅ¡ek Äapek,frantisek-capek-1
1948,CAN,mens-canadian-singles-10000-metres,Silver,USA,Frank Havens,frank-havens-1
1948,CAN,mens-canadian-singles-10000-metres,Bronze,CAN,Norm Lane,norm-lane-1
2012,CAN,mens-canadian-singles-200-metres,Gold,UKR,Yuriy Cheban,yuriy-cheban-1
2012,CAN,mens-canadian-singles-200-metres,Silver,LTU,Jevgenijus Å uklinas,jevgenijus-suklinas-1
2012,CAN,mens-canadian-singles-200-metres,Bronze,RUS,Ivan Shtyl,ivan-shtyl-1
2008,CAN,mens-canadian-singles-500-metres,Gold,RUS,Maksim Opalev,maksim-opalev-1
2008,CAN,mens-canadian-singles-500-metres,Silver,ESP,David Cal,david-cal-1
2008,CAN,mens-canadian-singles-500-metres,Bronze,UKR,Yuriy Cheban,yuriy-cheban-1
2004,CAN,mens-canadian-singles-500-metres,Gold,GER,Andreas Dittmer,andreas-dittmer-1
2004,CAN,mens-canadian-singles-500-metres,Silver,ESP,David Cal,david-cal-1
2004,CAN,mens-canadian-singles-500-metres,Bronze,RUS,Maksim Opalev,maksim-opalev-1
2000,CAN,mens-canadian-singles-500-metres,Gold,HUN,GyÃ¶rgy Kolonics,gyorgy-kolonics-1
2000,CAN,mens-canadian-singles-500-metres,Silver,RUS,Maksim Opalev,maksim-opalev-1
2000,CAN,mens-canadian-singles-500-metres,Bronze,GER,Andreas Dittmer,andreas-dittmer-1
1996,CAN,mens-canadian-singles-500-metres,Gold,CZE,Martin Doktor,martin-doktor-1
1996,CAN,mens-canadian-singles-500-metres,Silver,SVK,SlavomÃ­r KÅazovickÃ½,slavomir-knazovicky-1
1996,CAN,mens-canadian-singles-500-metres,Bronze,HUN,Imre Pulai,imre-pulai-1
1992,CAN,mens-canadian-singles-500-metres,Gold,BUL,Nikolay Bukhalov,nikolay-bukhalov-1
1992,CAN,mens-canadian-singles-500-metres,Silver,EUN,MichaÅ ÅliwiÅski,michal-sliwinski-1
1992,CAN,mens-canadian-singles-500-metres,Bronze,GER,Olaf Heukrodt,olaf-heukrodt-1
1988,CAN,mens-canadian-singles-500-metres,Gold,GDR,Olaf Heukrodt,olaf-heukrodt-1
1988,CAN,mens-canadian-singles-500-metres,Silver,URS,MichaÅ ÅliwiÅski,michal-sliwinski-1
1988,CAN,mens-canadian-singles-500-metres,Bronze,BUL,Martin Marinov,martin-marinov-1
1984,CAN,mens-canadian-singles-500-metres,Gold,CAN,Larry Cain,larry-cain-1
1984,CAN,mens-canadian-singles-500-metres,Silver,DEN,Henning Lynge Jakobsen,henning-lynge-jakobsen-1
1984,CAN,mens-canadian-singles-500-metres,Bronze,ROU,CosticÄ Olaru,costica-olaru-1
1980,CAN,mens-canadian-singles-500-metres,Gold,URS,Serhiy Postriekhin,serhiy-postriekhin-1
1980,CAN,mens-canadian-singles-500-metres,Silver,BUL,Lyubomir Lyubenov,lyubomir-lyubenov-1
1980,CAN,mens-canadian-singles-500-metres,Bronze,GDR,Olaf Heukrodt,olaf-heukrodt-1
1976,CAN,mens-canadian-singles-500-metres,Gold,URS,Aleksandr Rogov,aleksandr-rogov-1
1976,CAN,mens-canadian-singles-500-metres,Silver,CAN,John Wood,john-wood-1
1976,CAN,mens-canadian-singles-500-metres,Bronze,YUG,Matija Ljubek,matija-ljubek-1
2012,CAN,mens-canadian-singles-slalom,Gold,FRA,Tony Estanguet,tony-estanguet-1
2012,CAN,mens-canadian-singles-slalom,Silver,GER,Sideris Tasiadis,sideris-tasiadis-1
2012,CAN,mens-canadian-singles-slalom,Bronze,SVK,Michal MartikÃ¡n,michal-martikan-1
2008,CAN,mens-canadian-singles-slalom,Gold,SVK,Michal MartikÃ¡n,michal-martikan-1
2008,CAN,mens-canadian-singles-slalom,Silver,GBR,David Florence,david-florence-1
2008,CAN,mens-canadian-singles-slalom,Bronze,AUS,Rob Bell,rob-bell-1
2004,CAN,mens-canadian-singles-slalom,Gold,FRA,Tony Estanguet,tony-estanguet-1
2004,CAN,mens-canadian-singles-slalom,Silver,SVK,Michal MartikÃ¡n,michal-martikan-1
2004,CAN,mens-canadian-singles-slalom,Bronze,GER,Stefan PfannmÃ¶ller,stefan-pfannmoller-1
2000,CAN,mens-canadian-singles-slalom,Gold,FRA,Tony Estanguet,tony-estanguet-1
2000,CAN,mens-canadian-singles-slalom,Silver,SVK,Michal MartikÃ¡n,michal-martikan-1
2000,CAN,mens-canadian-singles-slalom,Bronze,SVK,Juraj MinÄÃ­k,juraj-mincik-1
1996,CAN,mens-canadian-singles-slalom,Gold,SVK,Michal MartikÃ¡n,michal-martikan-1
1996,CAN,mens-canadian-singles-slalom,Silver,CZE,LukÃ¡Å¡ Pollert,lukas-pollert-1
1996,CAN,mens-canadian-singles-slalom,Bronze,FRA,Patrice Estanguet,patrice-estanguet-1
1992,CAN,mens-canadian-singles-slalom,Gold,TCH,LukÃ¡Å¡ Pollert,lukas-pollert-1
1992,CAN,mens-canadian-singles-slalom,Silver,GBR,Gareth Marriott,gareth-marriott-1
1992,CAN,mens-canadian-singles-slalom,Bronze,FRA,Jacky Avril,jacky-avril-1
1972,CAN,mens-canadian-singles-slalom,Gold,GDR,Reinhard Eiben,reinhard-eiben-1
1972,CAN,mens-canadian-singles-slalom,Silver,FRG,Reinhold Kauder,reinhold-kauder-1
1972,CAN,mens-canadian-singles-slalom,Bronze,USA,Jamie McEwan,jamie-mcewan-1
1936,CAN,mens-folding-kayak-doubles-10-kilometres,Gold,SWE,Sweden,
1936,CAN,mens-folding-kayak-doubles-10-kilometres,Silver,GER,Germany,
1936,CAN,mens-folding-kayak-doubles-10-kilometres,Bronze,NED,Netherlands,
1936,CAN,mens-folding-kayak-singles-10-kilometres,Gold,AUT,Gregor Hradetzky,gregor-hradetzky-1
1936,CAN,mens-folding-kayak-singles-10-kilometres,Silver,FRA,Henri Eberhardt,henri-eberhardt-1
1936,CAN,mens-folding-kayak-singles-10-kilometres,Bronze,GER,Xaver HÃ¶rmann,xaver-hormann-1
2012,CAN,mens-kayak-doubles-1000-metres,Gold,HUN,Hungary,
2012,CAN,mens-kayak-doubles-1000-metres,Silver,POR,Portugal,
2012,CAN,mens-kayak-doubles-1000-metres,Bronze,GER,Germany,
2008,CAN,mens-kayak-doubles-1000-metres,Gold,GER,Germany,
2008,CAN,mens-kayak-doubles-1000-metres,Silver,DEN,Denmark,
2008,CAN,mens-kayak-doubles-1000-metres,Bronze,ITA,Italy,
2004,CAN,mens-kayak-doubles-1000-metres,Gold,SWE,Sweden,
2004,CAN,mens-kayak-doubles-1000-metres,Silver,ITA,Italy,
2004,CAN,mens-kayak-doubles-1000-metres,Bronze,NOR,Norway,
2000,CAN,mens-kayak-doubles-1000-metres,Gold,ITA,Italy,
2000,CAN,mens-kayak-doubles-1000-metres,Silver,SWE,Sweden,
2000,CAN,mens-kayak-doubles-1000-metres,Bronze,HUN,Hungary,
1996,CAN,mens-kayak-doubles-1000-metres,Gold,ITA,Italy,
1996,CAN,mens-kayak-doubles-1000-metres,Silver,GER,Germany,
1996,CAN,mens-kayak-doubles-1000-metres,Bronze,BUL,Bulgaria,
1992,CAN,mens-kayak-doubles-1000-metres,Gold,GER,Germany,
1992,CAN,mens-kayak-doubles-1000-metres,Silver,SWE,Sweden,
1992,CAN,mens-kayak-doubles-1000-metres,Bronze,POL,Poland,
1988,CAN,mens-kayak-doubles-1000-metres,Gold,USA,United States,
1988,CAN,mens-kayak-doubles-1000-metres,Silver,NZL,New Zealand,
1988,CAN,mens-kayak-doubles-1000-metres,Bronze,AUS,Australia,
1984,CAN,mens-kayak-doubles-1000-metres,Gold,CAN,Canada,
1984,CAN,mens-kayak-doubles-1000-metres,Silver,FRA,France,
1984,CAN,mens-kayak-doubles-1000-metres,Bronze,AUS,Australia,
1980,CAN,mens-kayak-doubles-1000-metres,Gold,URS,Soviet Union,
1980,CAN,mens-kayak-doubles-1000-metres,Silver,HUN,Hungary,
1980,CAN,mens-kayak-doubles-1000-metres,Bronze,ESP,Spain,
1976,CAN,mens-kayak-doubles-1000-metres,Gold,URS,Soviet Union,
1976,CAN,mens-kayak-doubles-1000-metres,Silver,GDR,East Germany,
1976,CAN,mens-kayak-doubles-1000-metres,Bronze,HUN,Hungary,
1972,CAN,mens-kayak-doubles-1000-metres,Gold,URS,Soviet Union,
1972,CAN,mens-kayak-doubles-1000-metres,Silver,HUN,Hungary,
1972,CAN,mens-kayak-doubles-1000-metres,Bronze,POL,Poland,
1968,CAN,mens-kayak-doubles-1000-metres,Gold,URS,Soviet Union,
1968,CAN,mens-kayak-doubles-1000-metres,Silver,HUN,Hungary,
1968,CAN,mens-kayak-doubles-1000-metres,Bronze,AUT,Austria,
1964,CAN,mens-kayak-doubles-1000-metres,Gold,SWE,Sweden,
1964,CAN,mens-kayak-doubles-1000-metres,Silver,NED,Netherlands,
1964,CAN,mens-kayak-doubles-1000-metres,Bronze,GER,Germany,
1960,CAN,mens-kayak-doubles-1000-metres,Gold,SWE,Sweden,
1960,CAN,mens-kayak-doubles-1000-metres,Silver,HUN,Hungary,
1960,CAN,mens-kayak-doubles-1000-metres,Bronze,POL,Poland,
1956,CAN,mens-kayak-doubles-1000-metres,Gold,GER,Germany,
1956,CAN,mens-kayak-doubles-1000-metres,Silver,URS,Soviet Union,
1956,CAN,mens-kayak-doubles-1000-metres,Bronze,AUT,Austria,
1952,CAN,mens-kayak-doubles-1000-metres,Gold,FIN,Finland,
1952,CAN,mens-kayak-doubles-1000-metres,Silver,SWE,Sweden,
1952,CAN,mens-kayak-doubles-1000-metres,Bronze,AUT,Austria,
1948,CAN,mens-kayak-doubles-1000-metres,Gold,SWE,Sweden,
1948,CAN,mens-kayak-doubles-1000-metres,Silver,DEN,Denmark,
1948,CAN,mens-kayak-doubles-1000-metres,Bronze,FIN,Finland,
1936,CAN,mens-kayak-doubles-1000-metres,Gold,AUT,Austria,
1936,CAN,mens-kayak-doubles-1000-metres,Silver,GER,Germany,
1936,CAN,mens-kayak-doubles-1000-metres,Bronze,NED,Netherlands,
1956,CAN,mens-kayak-doubles-10000-metres,Gold,HUN,Hungary,
1956,CAN,mens-kayak-doubles-10000-metres,Silver,GER,Germany,
1956,CAN,mens-kayak-doubles-10000-metres,Bronze,AUS,Australia,
1952,CAN,mens-kayak-doubles-10000-metres,Gold,FIN,Finland,
1952,CAN,mens-kayak-doubles-10000-metres,Silver,SWE,Sweden,
1952,CAN,mens-kayak-doubles-10000-metres,Bronze,HUN,Hungary,
1948,CAN,mens-kayak-doubles-10000-metres,Gold,SWE,Sweden,
1948,CAN,mens-kayak-doubles-10000-metres,Silver,NOR,Norway,
1948,CAN,mens-kayak-doubles-10000-metres,Bronze,FIN,Finland,
1936,CAN,mens-kayak-doubles-10000-metres,Gold,GER,Germany,
1936,CAN,mens-kayak-doubles-10000-metres,Silver,AUT,Austria,
1936,CAN,mens-kayak-doubles-10000-metres,Bronze,SWE,Sweden,
2012,CAN,mens-kayak-doubles-200-metres,Gold,RUS,Russia,
2012,CAN,mens-kayak-doubles-200-metres,Silver,BLR,Belarus,
2012,CAN,mens-kayak-doubles-200-metres,Bronze,GBR,Great Britain,
2008,CAN,mens-kayak-doubles-500-metres,Gold,ESP,Spain,
2008,CAN,mens-kayak-doubles-500-metres,Silver,GER,Germany,
2008,CAN,mens-kayak-doubles-500-metres,Bronze,BLR,Belarus,
2004,CAN,mens-kayak-doubles-500-metres,Gold,GER,Germany,
2004,CAN,mens-kayak-doubles-500-metres,Silver,AUS,Australia,
2004,CAN,mens-kayak-doubles-500-metres,Bronze,BLR,Belarus,
2000,CAN,mens-kayak-doubles-500-metres,Gold,HUN,Hungary,
2000,CAN,mens-kayak-doubles-500-metres,Silver,AUS,Australia,
2000,CAN,mens-kayak-doubles-500-metres,Bronze,GER,Germany,
1996,CAN,mens-kayak-doubles-500-metres,Gold,GER,Germany,
1996,CAN,mens-kayak-doubles-500-metres,Silver,ITA,Italy,
1996,CAN,mens-kayak-doubles-500-metres,Bronze,AUS,Australia,
1992,CAN,mens-kayak-doubles-500-metres,Gold,GER,Germany,
1992,CAN,mens-kayak-doubles-500-metres,Silver,POL,Poland,
1992,CAN,mens-kayak-doubles-500-metres,Bronze,ITA,Italy,
1988,CAN,mens-kayak-doubles-500-metres,Gold,NZL,New Zealand,
1988,CAN,mens-kayak-doubles-500-metres,Silver,URS,Soviet Union,
1988,CAN,mens-kayak-doubles-500-metres,Bronze,HUN,Hungary,
1984,CAN,mens-kayak-doubles-500-metres,Gold,NZL,New Zealand,
1984,CAN,mens-kayak-doubles-500-metres,Silver,SWE,Sweden,
1984,CAN,mens-kayak-doubles-500-metres,Bronze,CAN,Canada,
1980,CAN,mens-kayak-doubles-500-metres,Gold,URS,Soviet Union,
1980,CAN,mens-kayak-doubles-500-metres,Silver,ESP,Spain,
1980,CAN,mens-kayak-doubles-500-metres,Bronze,GDR,East Germany,
1976,CAN,mens-kayak-doubles-500-metres,Gold,GDR,East Germany,
1976,CAN,mens-kayak-doubles-500-metres,Silver,URS,Soviet Union,
1976,CAN,mens-kayak-doubles-500-metres,Bronze,ROU,Romania,
2012,CAN,mens-kayak-fours-1000-metres,Gold,AUS,Australia,
2012,CAN,mens-kayak-fours-1000-metres,Silver,HUN,Hungary,
2012,CAN,mens-kayak-fours-1000-metres,Bronze,CZE,Czech Republic,
2008,CAN,mens-kayak-fours-1000-metres,Gold,BLR,Belarus,
2008,CAN,mens-kayak-fours-1000-metres,Silver,SVK,Slovakia,
2008,CAN,mens-kayak-fours-1000-metres,Bronze,GER,Germany,
2004,CAN,mens-kayak-fours-1000-metres,Gold,HUN,Hungary,
2004,CAN,mens-kayak-fours-1000-metres,Silver,GER,Germany,
2004,CAN,mens-kayak-fours-1000-metres,Bronze,SVK,Slovakia,
2000,CAN,mens-kayak-fours-1000-metres,Gold,HUN,Hungary,
2000,CAN,mens-kayak-fours-1000-metres,Silver,GER,Germany,
2000,CAN,mens-kayak-fours-1000-metres,Bronze,POL,Poland,
1996,CAN,mens-kayak-fours-1000-metres,Gold,GER,Germany,
1996,CAN,mens-kayak-fours-1000-metres,Silver,HUN,Hungary,
1996,CAN,mens-kayak-fours-1000-metres,Bronze,RUS,Russia,
1992,CAN,mens-kayak-fours-1000-metres,Gold,GER,Germany,
1992,CAN,mens-kayak-fours-1000-metres,Silver,HUN,Hungary,
1992,CAN,mens-kayak-fours-1000-metres,Bronze,AUS,Australia,
1988,CAN,mens-kayak-fours-1000-metres,Gold,HUN,Hungary,
1988,CAN,mens-kayak-fours-1000-metres,Silver,URS,Soviet Union,
1988,CAN,mens-kayak-fours-1000-metres,Bronze,GDR,East Germany,
1984,CAN,mens-kayak-fours-1000-metres,Gold,NZL,New Zealand,
1984,CAN,mens-kayak-fours-1000-metres,Silver,SWE,Sweden,
1984,CAN,mens-kayak-fours-1000-metres,Bronze,FRA,France,
1980,CAN,mens-kayak-fours-1000-metres,Gold,GDR,East Germany,
1980,CAN,mens-kayak-fours-1000-metres,Silver,ROU,Romania,
1980,CAN,mens-kayak-fours-1000-metres,Bronze,BUL,Bulgaria,
1976,CAN,mens-kayak-fours-1000-metres,Gold,URS,Soviet Union,
1976,CAN,mens-kayak-fours-1000-metres,Silver,ESP,Spain,
1976,CAN,mens-kayak-fours-1000-metres,Bronze,GDR,East Germany,
1972,CAN,mens-kayak-fours-1000-metres,Gold,URS,Soviet Union,
1972,CAN,mens-kayak-fours-1000-metres,Silver,ROU,Romania,
1972,CAN,mens-kayak-fours-1000-metres,Bronze,NOR,Norway,
1968,CAN,mens-kayak-fours-1000-metres,Gold,NOR,Norway,
1968,CAN,mens-kayak-fours-1000-metres,Silver,ROU,Romania,
1968,CAN,mens-kayak-fours-1000-metres,Bronze,HUN,Hungary,
1964,CAN,mens-kayak-fours-1000-metres,Gold,URS,Soviet Union,
1964,CAN,mens-kayak-fours-1000-metres,Silver,GER,Germany,
1964,CAN,mens-kayak-fours-1000-metres,Bronze,ROU,Romania,
1960,CAN,mens-kayak-relay-4-x-500-metres,Gold,GER,Germany,
1960,CAN,mens-kayak-relay-4-x-500-metres,Silver,HUN,Hungary,
1960,CAN,mens-kayak-relay-4-x-500-metres,Bronze,DEN,Denmark,
2012,CAN,mens-kayak-singles-1000-metres,Gold,NOR,Eirik VerÃ¥s Larsen,eirik-veras-larsen-1
2012,CAN,mens-kayak-singles-1000-metres,Silver,CAN,Adam Van Koeverden,adam-van-koeverden-1
2012,CAN,mens-kayak-singles-1000-metres,Bronze,GER,Max Hoff,max-hoff-1
2008,CAN,mens-kayak-singles-1000-metres,Gold,GBR,Tim Brabants,tim-brabants-1
2008,CAN,mens-kayak-singles-1000-metres,Silver,NOR,Eirik VerÃ¥s Larsen,eirik-veras-larsen-1
2008,CAN,mens-kayak-singles-1000-metres,Bronze,AUS,Ken Wallace,ken-wallace-1
2004,CAN,mens-kayak-singles-1000-metres,Gold,NOR,Eirik VerÃ¥s Larsen,eirik-veras-larsen-1
2004,CAN,mens-kayak-singles-1000-metres,Silver,NZL,Ben Fouhy,ben-fouhy-1
2004,CAN,mens-kayak-singles-1000-metres,Bronze,CAN,Adam Van Koeverden,adam-van-koeverden-1
2000,CAN,mens-kayak-singles-1000-metres,Gold,NOR,Knut Holmann,knut-holmann-1
2000,CAN,mens-kayak-singles-1000-metres,Silver,BUL,Petar Merkov,petar-merkov-1
2000,CAN,mens-kayak-singles-1000-metres,Bronze,GBR,Tim Brabants,tim-brabants-1
1996,CAN,mens-kayak-singles-1000-metres,Gold,NOR,Knut Holmann,knut-holmann-1
1996,CAN,mens-kayak-singles-1000-metres,Silver,ITA,Beniamino Bonomi,beniamino-bonomi-1
1996,CAN,mens-kayak-singles-1000-metres,Bronze,AUS,Clint Robinson,clint-robinson-1
1992,CAN,mens-kayak-singles-1000-metres,Gold,AUS,Clint Robinson,clint-robinson-1
1992,CAN,mens-kayak-singles-1000-metres,Silver,NOR,Knut Holmann,knut-holmann-1
1992,CAN,mens-kayak-singles-1000-metres,Bronze,USA,Greg Barton,greg-barton-1
1988,CAN,mens-kayak-singles-1000-metres,Gold,USA,Greg Barton,greg-barton-1
1988,CAN,mens-kayak-singles-1000-metres,Silver,AUS,Grant Davies,grant-davies-1
1988,CAN,mens-kayak-singles-1000-metres,Bronze,GDR,AndrÃ© Wohllebe,andre-wohllebe-1
1984,CAN,mens-kayak-singles-1000-metres,Gold,NZL,Alan Thompson,alan-thompson-1
1984,CAN,mens-kayak-singles-1000-metres,Silver,YUG,Milan JaniÄ,milan-janic-1
1984,CAN,mens-kayak-singles-1000-metres,Bronze,USA,Greg Barton,greg-barton-1
1980,CAN,mens-kayak-singles-1000-metres,Gold,GDR,RÃ¼diger Helm,rudiger-helm-1
1980,CAN,mens-kayak-singles-1000-metres,Silver,FRA,Alain Lebas,alain-lebas-1
1980,CAN,mens-kayak-singles-1000-metres,Bronze,ROU,Ion BÃ®rlÄdeanu,ion-birladeanu-1
1976,CAN,mens-kayak-singles-1000-metres,Gold,GDR,RÃ¼diger Helm,rudiger-helm-1
1976,CAN,mens-kayak-singles-1000-metres,Silver,HUN,GÃ©za CsapÃ³,geza-csapo-1
1976,CAN,mens-kayak-singles-1000-metres,Bronze,ROU,Vasile DÃ®ba,vasile-diba-1
1972,CAN,mens-kayak-singles-1000-metres,Gold,URS,Oleksandr Shaparenko,oleksandr-shaparenko-1
1972,CAN,mens-kayak-singles-1000-metres,Silver,SWE,Rolf Peterson,rolf-peterson-1
1972,CAN,mens-kayak-singles-1000-metres,Bronze,HUN,GÃ©za CsapÃ³,geza-csapo-1
1968,CAN,mens-kayak-singles-1000-metres,Gold,HUN,MihÃ¡ly Hesz,mihaly-hesz-1
1968,CAN,mens-kayak-singles-1000-metres,Silver,URS,Oleksandr Shaparenko,oleksandr-shaparenko-1
1968,CAN,mens-kayak-singles-1000-metres,Bronze,DEN,Erik Hansen,erik-hansen-1
1964,CAN,mens-kayak-singles-1000-metres,Gold,SWE,Rolf Peterson,rolf-peterson-1
1964,CAN,mens-kayak-singles-1000-metres,Silver,HUN,MihÃ¡ly Hesz,mihaly-hesz-1
1964,CAN,mens-kayak-singles-1000-metres,Bronze,ROU,Aurel Vernescu,aurel-vernescu-1
1960,CAN,mens-kayak-singles-1000-metres,Gold,DEN,Erik Hansen,erik-hansen-1
1960,CAN,mens-kayak-singles-1000-metres,Silver,HUN,Imre SzÃ¶llÅsi,imre-szollosi-1
