Year,Sport,Discipline,Medal,Country,Author,AuthorId
1920,ARC,mens-pole-archery-large-birds-individual,Gold,BEL,Edmond Cloetens,edmond-cloetens-1
1920,ARC,mens-pole-archery-large-birds-individual,Silver,BEL,Louis Van De Perck,louis-van-de-perck-1
1920,ARC,mens-pole-archery-large-birds-individual,Bronze,BEL,Firmin Flamand,firmin-flamand-1
1920,ARC,mens-pole-archery-large-birds-team,Gold,BEL,Belgium,
1920,ARC,mens-pole-archery-small-birds-individual,Gold,BEL,Edmond Van Moer,edmond-van-moer-1
1920,ARC,mens-pole-archery-small-birds-individual,Silver,BEL,Louis Van De Perck,louis-van-de-perck-1
1920,ARC,mens-pole-archery-small-birds-individual,Bronze,BEL,Joseph Hermans,joseph-hermans-1
1920,ARC,mens-pole-archery-small-birds-team,Gold,BEL,Belgium,
1900,ARC,mens-sur-la-perche-a-la-herse,Gold,BEL,Emmanuel Foulon,emmanuel-foulon-1
1900,ARC,mens-sur-la-perche-a-la-herse,Silver,BEL, Druart, Jr.
1900,ARC,mens-sur-la-perche-a-la-pyramide,Gold,FRA,Ãmile Grumiaux,emile-grumiaux-1
1900,ARC,mens-sur-la-perche-a-la-pyramide,Silver,FRA,Auguste Serrurier,auguste-serrurier-1
1900,ARC,mens-sur-la-perche-a-la-pyramide,Bronze,BEL,Louis Glineur,louis-glineur-1
1920,ARC,mens-target-archery-28-metres-individual,Gold,BEL,Hubert Van Innis,hubert-van-innis-1
1920,ARC,mens-target-archery-28-metres-individual,Silver,FRA,LÃ©once Quentin,leonce-quentin-1
1920,ARC,mens-target-archery-28-metres-team,Gold,NED,Netherlands,
1920,ARC,mens-target-archery-28-metres-team,Silver,BEL,Belgium,
1920,ARC,mens-target-archery-28-metres-team,Bronze,FRA,France,
1920,ARC,mens-target-archery-33-metres-individual,Gold,BEL,Hubert Van Innis,hubert-van-innis-1
1920,ARC,mens-target-archery-33-metres-individual,Silver,FRA,Julien BrulÃ©,julien-brule-1
1920,ARC,mens-target-archery-33-metres-team,Gold,BEL,Belgium,
1920,ARC,mens-target-archery-33-metres-team,Silver,FRA,France,
1920,ARC,mens-target-archery-50-metres-individual,Gold,FRA,Julien BrulÃ©,julien-brule-1
1920,ARC,mens-target-archery-50-metres-individual,Silver,BEL,Hubert Van Innis,hubert-van-innis-1
1920,ARC,mens-target-archery-50-metres-team,Gold,BEL,Belgium,
1920,ARC,mens-target-archery-50-metres-team,Silver,FRA,France,
1904,ARC,mens-team-round,Gold,USA,United States,
1904,ARC,mens-team-round,Silver,USA,United States,
1904,ARC,mens-team-round,Bronze,USA,United States,
2012,ARC,mens-team,Gold,ITA,Italy,
